眼睛跟随（R6）：三幕轨迹，2b7bba 是眼的方位角，b03a2e 是球在视野里的方位角
这三条是 出一张图_论文_20260915.py 图6() 现场跑出来的，画 Figure 7 时写盘

== (a) object crossing the field  [小横着飘 {'球方位角': -25.0, '球半径': 0.05, '球横速': 0.5, '秒数': 5.0}] ==
  秒     球方位角     眼方位角
   4.34       4.18      18.05
   4.36       4.25      18.19
   4.38       4.36      18.30
   4.40       4.30      18.58
   4.42       4.32      18.77
   4.44       4.20      19.12
   4.46       4.17      19.36
   4.48       4.20      19.54
   4.50       4.29      19.67
   4.52       4.41      19.76
   4.54       4.36      20.03
   4.56       4.18      20.42
   4.58       4.11      20.70
   4.60       4.12      20.91
   4.62       4.18      21.05
   4.64       4.29      21.16
   4.66       4.22      21.43
   4.68       4.23      21.63
   4.70       4.29      21.78
   4.72       4.20      22.08
   4.74       4.18      22.30
   4.76       4.23      22.45
   4.78       4.32      22.57
   4.80       4.25      22.85
   4.82       4.25      23.05
   4.84       4.30      23.20
   4.86       4.20      23.50
   4.88       4.18      23.72
   4.90       4.22      23.88
   4.92       4.31      23.99
   4.94       4.22      24.27
   4.96       4.22      24.48
   4.98       4.27      24.62

== (b) object appearing at t = 2 s  [小突然出现 {'球方位角': 20.0, '球半径': 0.05, '出现时刻': 2.0, '秒数': 5.0}] ==
  秒     球方位角     眼方位角
   0.00        nan       0.00
   0.02        nan       0.00
   0.04        nan       0.00
   0.06        nan       0.00
   0.08        nan       0.00
   0.10        nan       0.00
   0.12        nan       0.00
   0.14        nan       0.00
   0.16        nan       0.00
   0.18        nan       0.00
   0.20        nan       0.00
   0.22        nan       0.00
   0.24        nan       0.00
   0.26        nan       0.00
   0.28        nan       0.00
   0.30        nan       0.00
   0.32        nan       0.00
   0.34        nan       0.00
   0.36        nan       0.00
   0.38        nan       0.00
   0.40        nan       0.00
   0.42        nan       0.00
   0.44        nan       0.00
   0.46        nan       0.00
   0.48        nan       0.00
   0.50        nan       0.00
   0.52        nan       0.00
   0.54        nan       0.00
   0.56        nan       0.00
   0.58        nan       0.00
   0.60        nan       0.00
   0.62        nan       0.00
   0.64        nan       0.00
   0.66        nan       0.00
   0.68        nan       0.00
   0.70        nan       0.00
   0.72        nan       0.00
   0.74        nan       0.00
   0.76        nan       0.00
   0.78        nan       0.00
   0.80        nan       0.00
   0.82        nan       0.00
   0.84        nan       0.00
   0.86        nan       0.00
   0.88        nan       0.00
   0.90        nan       0.00
   0.92        nan       0.00
   0.94        nan       0.00
   0.96        nan       0.00
   0.98        nan       0.00
   1.00        nan       0.00
   1.02        nan       0.00
   1.04        nan       0.00
   1.06        nan       0.00
   1.08        nan       0.00
   1.10        nan       0.00
   1.12        nan       0.00
   1.14        nan       0.00
   1.16        nan       0.00
   1.18        nan       0.00
   1.20        nan       0.00
   1.22        nan       0.00
   1.24        nan       0.00
   1.26        nan       0.00
   1.28        nan       0.00
   1.30        nan       0.00
   1.32        nan       0.00
   1.34        nan       0.00
   1.36        nan       0.00
   1.38        nan       0.00
   1.40        nan       0.00
   1.42        nan       0.00
   1.44        nan       0.00
   1.46        nan       0.00
   1.48        nan       0.00
   1.50        nan       0.00
   1.52        nan       0.00
   1.54        nan       0.00
   1.56        nan       0.00
   1.58        nan       0.00
   1.60        nan       0.00
   1.62        nan       0.00
   1.64        nan       0.00
   1.66        nan       0.00
   1.68        nan       0.00
   1.70        nan       0.00
   1.72        nan       0.00
   1.74        nan       0.00
   1.76        nan       0.00
   1.78        nan       0.00
   1.80        nan       0.00
   1.82        nan       0.00
   1.84        nan       0.00
   1.86        nan       0.00
   1.88        nan       0.00
   1.90        nan       0.00
   1.92        nan       0.00
   1.94        nan       0.00
   1.96        nan       0.00
   1.98        nan       0.00
   2.00      23.54       0.20
   2.02      23.20       0.54
   2.04      22.75       0.99
   2.06      22.23       1.51
   2.08      21.65       2.09
   2.10      21.04       2.70
   2.12      20.40       3.35
   2.14      19.73       4.01
   2.16      19.06       4.69
   2.18      18.37       5.37
   2.20      17.67       6.07
   2.22      16.97       6.77
   2.24      16.27       7.47
   2.26      15.56       8.18
   2.28      14.85       8.89
   2.30      14.14       9.60
   2.32      13.43      10.31
   2.34      12.72      11.03
   2.36      12.00      11.74
   2.38      11.29      12.45
   2.40      10.58      13.17
   2.42       9.86      13.88
   2.44       9.15      14.59
   2.46       8.44      15.31
   2.48       7.72      16.02
   2.50       7.01      16.74
   2.52       6.29      17.45
   2.54       5.58      18.16
   2.56       4.87      18.88
   2.58       4.15      19.59
   2.60       3.64      20.11
   2.62       3.27      20.48
   2.64       3.00      20.74
   2.66       2.81      20.93
   2.68       2.67      21.07
   2.70       2.57      21.17
   2.72       2.50      21.24
   2.74       2.45      21.30
   2.76       2.41      21.33
   2.78       2.38      21.36
   2.80       2.36      21.38
   2.82       2.35      21.39
   2.84       2.34      21.40
   2.86       2.33      21.41
   2.88       2.33      21.42
   2.90       2.32      21.42
   2.92       2.32      21.42
   2.94       2.32      21.42
   2.96       2.32      21.42
   2.98       2.32      21.43
   3.00       2.32      21.43
   3.02       2.32      21.43
   3.04       2.32      21.43
   3.06       2.31      21.43
   3.08       2.31      21.43
   3.10       2.31      21.43
   3.12       2.31      21.43
   3.14       2.31      21.43
   3.16       2.31      21.43
   3.18       2.31      21.43
   3.20       2.31      21.43
   3.22       2.31      21.43
   3.24       2.31      21.43
   3.26       2.31      21.43
   3.28       2.31      21.43
   3.30       2.31      21.43
   3.32       2.31      21.43
   3.34       2.31      21.43
   3.36       2.31      21.43
   3.38       2.31      21.43
   3.40       2.31      21.43
   3.42       2.31      21.43
   3.44       2.31      21.43
   3.46       2.31      21.43
   3.48       2.31      21.43
   3.50       2.31      21.43
   3.52       2.31      21.43
   3.54       2.31      21.43
   3.56       2.31      21.43
   3.58       2.31      21.43
   3.60       2.31      21.43
   3.62       2.31      21.43
   3.64       2.31      21.43
   3.66       2.31      21.43
   3.68       2.31      21.43
   3.70       2.31      21.43
   3.72       2.31      21.43
   3.74       2.31      21.43
   3.76       2.31      21.43
   3.78       2.31      21.43
   3.80       2.31      21.43
   3.82       2.31      21.43
   3.84       2.31      21.43
   3.86       2.31      21.43
   3.88       2.31      21.43
   3.90       2.31      21.43
   3.92       2.31      21.43
   3.94       2.31      21.43
   3.96       2.31      21.43
   3.98       2.31      21.43
   4.00       2.31      21.43
   4.02       2.31      21.43
   4.04       2.31      21.43
   4.06       2.31      21.43
   4.08       2.31      21.43
   4.10       2.31      21.43
   4.12       2.31      21.43
   4.14       2.31      21.43
   4.16       2.31      21.43
   4.18       2.31      21.43
   4.20       2.31      21.43
   4.22       2.31      21.43
   4.24       2.31      21.43
   4.26       2.31      21.43
   4.28       2.31      21.43
   4.30       2.31      21.43
   4.32       2.31      21.43
   4.34       2.31      21.43
   4.36       2.31      21.43
   4.38       2.31      21.43
   4.40       2.31      21.43
   4.42       2.31      21.43
   4.44       2.31      21.43
   4.46       2.31      21.43
   4.48       2.31      21.43
   4.50       2.31      21.43
   4.52       2.31      21.43
   4.54       2.31      21.43
   4.56       2.31      21.43
   4.58       2.31      21.43
   4.60       2.31      21.43
   4.62       2.31      21.43
   4.64       2.31      21.43
   4.66       2.31      21.43
   4.68       2.31      21.43
   4.70       2.31      21.43
   4.72       2.31      21.43
   4.74       2.31      21.43
   4.76       2.31      21.43
   4.78       2.31      21.43
   4.80       2.31      21.43
   4.82       2.31      21.43
   4.84       2.31      21.43
   4.86       2.31      21.43
   4.88       2.31      21.43
   4.90       2.31      21.43
   4.92       2.31      21.43
   4.94       2.31      21.43
   4.96       2.31      21.43
   4.98       2.31      21.43

== (c) empty scene (control)  [空场 {'球方位角': 0.0, '球半径': 0.05, '出现时刻': 999.0, '秒数': 3.0}] ==
  秒     球方位角     眼方位角
   0.00        nan       0.00
   0.02        nan       0.00
   0.04        nan       0.00
   0.06        nan       0.00
   0.08        nan       0.00
   0.10        nan       0.00
   0.12        nan       0.00
   0.14        nan       0.00
   0.16        nan       0.00
   0.18        nan       0.00
   0.20        nan       0.00
   0.22        nan       0.00
   0.24        nan       0.00
   0.26        nan       0.00
   0.28        nan       0.00
   0.30        nan       0.00
   0.32        nan       0.00
   0.34        nan       0.00
   0.36        nan       0.00
   0.38        nan       0.00
   0.40        nan       0.00
