建皮层连接网：视觉23040、视觉细节23040、听觉30000、前额叶53200、运动160、运动记忆3576、本体感觉480、平衡感觉120、机身状态60、视觉运动1920、多巴胺200、抑制8000 共 143,796 个皮层神经元 ...
站起来块 60 个细胞，走路块 15 个细胞
=== A 趴着无图 ===
    0 0.00 末高0.261 歪  6 | 站起来链  0 走路链  1 | 前额1585 视觉   68 听觉    0 运动 20 运记   1 | 力[0. 0. 0.]
    4 0.08 末高0.274 歪  4 | 站起来链  0 走路链  1 | 前额1590 视觉   73 听觉    0 运动 91 运记   1 | 力[0.4 0.4 1. ]
    8 0.16 末高0.334 歪  9 | 站起来链  0 走路链  1 | 前额1589 视觉   72 听觉    0 运动 93 运记   1 | 力[0.4 0.5 1. ]
   12 0.24 末高0.379 歪 12 | 站起来链  0 走路链  1 | 前额1591 视觉   73 听觉    0 运动 92 运记   1 | 力[0.5 0.5 0.9]
   16 0.32 末高0.396 歪 14 | 站起来链  0 走路链  1 | 前额1591 视觉   73 听觉    0 运动 93 运记   1 | 力[0.5 0.6 0.6]
   20 0.40 末高0.396 歪 13 | 站起来链  0 走路链  1 | 前额1588 视觉   72 听觉    0 运动 92 运记   1 | 力[0.5 0.6 1. ]
   24 0.48 末高0.375 歪  7 | 站起来链  0 走路链  1 | 前额1591 视觉   72 听觉    0 运动 96 运记   1 | 力[0.5 0.6 1. ]
   28 0.56 末高0.347 歪  2 | 站起来链  0 走路链  1 | 前额1589 视觉   72 听觉    0 运动 90 运记   1 | 力[0.5 0.4 0.7]
   32 0.64 末高0.356 歪  4 | 站起来链  0 走路链  1 | 前额1591 视觉   72 听觉    0 运动 91 运记   1 | 力[0.4 0.4 0.8]
   36 0.72 末高0.364 歪  4 | 站起来链  0 走路链  1 | 前额1588 视觉   72 听觉    0 运动 91 运记   1 | 力[0.5 0.5 0.9]
   40 0.80 末高0.358 歪  7 | 站起来链  0 走路链  1 | 前额1591 视觉   72 听觉    0 运动 94 运记   1 | 力[0.5 0.4 1. ]
   44 0.88 末高0.373 歪  5 | 站起来链  0 走路链  1 | 前额1589 视觉   72 听觉    0 运动 90 运记   1 | 力[0.5 0.4 0.5]
   48 0.96 末高0.354 歪  2 | 站起来链  0 走路链  1 | 前额1591 视觉   72 听觉    0 运动 93 运记   1 | 力[0.4 0.4 1. ]
   52 1.04 末高0.366 歪  1 | 站起来链  0 走路链  1 | 前额1588 视觉   72 听觉    0 运动 89 运记   1 | 力[0.4 0.5 0.9]
   56 1.12 末高0.372 歪  1 | 站起来链  0 走路链  1 | 前额1591 视觉   72 听觉    0 运动 94 运记   1 | 力[0.5 0.4 1. ]
   60 1.20 末高0.362 歪  0 | 站起来链  0 走路链  1 | 前额1591 视觉   72 听觉    0 运动 89 运记   1 | 力[0.5 0.4 0.5]
   64 1.28 末高0.358 歪  2 | 站起来链  0 走路链  1 | 前额1590 视觉   73 听觉    0 运动 91 运记   1 | 力[0.4 0.4 1. ]
   68 1.36 末高0.370 歪  3 | 站起来链  0 走路链  1 | 前额1589 视觉   73 听觉    0 运动 93 运记   1 | 力[0.4 0.5 1. ]
   72 1.44 末高0.364 歪  4 | 站起来链  0 走路链  1 | 前额1591 视觉   73 听觉    0 运动 90 运记   1 | 力[0.5 0.4 0.9]
   76 1.52 末高0.363 歪  2 | 站起来链  0 走路链  1 | 前额1591 视觉   73 听觉    0 运动 90 运记   1 | 力[0.5 0.4 0.6]
   80 1.60 末高0.357 歪  2 | 站起来链  0 走路链  1 | 前额1588 视觉   74 听觉    0 运动 88 运记   1 | 力[0.5 0.4 1. ]
   84 1.68 末高0.372 歪  4 | 站起来链  0 走路链  1 | 前额1591 视觉   74 听觉    0 运动 94 运记   1 | 力[0.5 0.5 1. ]
   88 1.76 末高0.366 歪  5 | 站起来链  0 走路链  1 | 前额1589 视觉   74 听觉    0 运动 90 运记   1 | 力[0.5 0.4 0.7]
   92 1.84 末高0.359 歪  3 | 站起来链  0 走路链  1 | 前额1591 视觉   75 听觉    0 运动 91 运记   1 | 力[0.4 0.4 0.8]
   96 1.92 末高0.362 歪  1 | 站起来链  0 走路链  1 | 前额1588 视觉   75 听觉    0 运动 92 运记   1 | 力[0.5 0.5 0.9]
  100 2.00 末高0.374 歪  2 | 站起来链  0 走路链  1 | 前额1591 视觉   74 听觉    0 运动 93 运记   1 | 力[0.5 0.4 1. ]
  104 2.08 末高0.362 歪  2 | 站起来链  0 走路链  1 | 前额1591 视觉   75 听觉    0 运动 90 运记   1 | 力[0.5 0.4 0.5]
  108 2.16 末高0.351 歪  1 | 站起来链  0 走路链  1 | 前额1591 视觉   75 听觉    0 运动 93 运记   1 | 力[0.4 0.4 1. ]
  112 2.24 末高0.369 歪  2 | 站起来链  0 走路链  1 | 前额1588 视觉   74 听觉    0 运动 89 运记   1 | 力[0.4 0.5 0.9]
  116 2.32 末高0.373 歪  2 | 站起来链  0 走路链  1 | 前额1591 视觉   75 听觉    0 运动 94 运记   1 | 力[0.5 0.4 1. ]
  120 2.40 末高0.360 歪  1 | 站起来链  0 走路链  1 | 前额1591 视觉   76 听觉    0 运动 89 运记   1 | 力[0.5 0.4 0.5]
  124 2.48 末高0.354 歪  2 | 站起来链  0 走路链  1 | 前额1590 视觉   76 听觉    0 运动 91 运记   1 | 力[0.4 0.4 1. ]
  128 2.56 末高0.373 歪  3 | 站起来链  0 走路链  1 | 前额1589 视觉   75 听觉    0 运动 93 运记   1 | 力[0.4 0.5 1. ]
  132 2.64 末高0.367 歪  4 | 站起来链  0 走路链  1 | 前额1591 视觉   75 听觉    0 运动 91 运记   1 | 力[0.5 0.4 0.9]
  136 2.72 末高0.357 歪  2 | 站起来链  0 走路链  1 | 前额1591 视觉   76 听觉    0 运动 90 运记   1 | 力[0.5 0.4 0.6]
  140 2.80 末高0.357 歪  1 | 站起来链  0 走路链  1 | 前额1588 视觉   76 听觉    0 运动 88 运记   1 | 力[0.5 0.4 1. ]
  144 2.88 末高0.375 歪  3 | 站起来链  0 走路链  1 | 前额1591 视觉   75 听觉    0 运动 94 运记   1 | 力[0.5 0.5 1. ]
  148 2.96 末高0.364 歪  3 | 站起来链  0 走路链  1 | 前额1589 视觉   76 听觉    0 运动 93 运记   1 | 力[0.5 0.4 0.7]
=== C 站着黑屏 ===
    0 0.00 末高0.261 歪  6 | 站起来链  0 走路链  0 | 前额   5 视觉    0 听觉    0 运动  0 运记   0 | 力[0. 0. 0.]
    4 0.08 末高0.219 歪 14 | 站起来链  0 走路链  0 | 前额   0 视觉    0 听觉    0 运动 62 运记   0 | 力[0.5 0.4 0.5]
    8 0.16 末高0.212 歪 23 | 站起来链  0 走路链  0 | 前额   5 视觉    0 听觉    0 运动 65 运记   0 | 力[0.5 0.4 0.5]
   12 0.24 末高0.243 歪 15 | 站起来链  0 走路链  0 | 前额   0 视觉    0 听觉    0 运动  0 运记   0 | 力[0. 0. 0.]
   16 0.32 末高0.214 歪 10 | 站起来链  0 走路链  0 | 前额   2 视觉    0 听觉    0 运动  0 运记   0 | 力[0. 0. 0.]
   20 0.40 末高0.206 歪  6 | 站起来链  0 走路链  0 | 前额   5 视觉    0 听觉    0 运动  0 运记   0 | 力[0. 0. 0.]
   24 0.48 末高0.186 歪  3 | 站起来链  0 走路链  0 | 前额   5 视觉    0 听觉    0 运动  0 运记   0 | 力[0. 0. 0.]
   28 0.56 末高0.159 歪 20 | 站起来链  0 走路链  0 | 前额   5 视觉    0 听觉    0 运动  0 运记   0 | 力[0. 0. 0.]
   32 0.64 末高0.150 歪 56 | 站起来链  1 走路链  0 | 前额   9 视觉    0 听觉    0 运动 57 运记   1 | 力[0.5 0.7 0. ]
   36 0.72 末高0.162 歪 82 | 站起来链  1 走路链  0 | 前额   5 视觉    0 听觉    0 运动 50 运记   1 | 力[0.5 0.7 0. ]
   40 0.80 末高0.155 歪 99 | 站起来链  1 走路链  0 | 前额   5 视觉    0 听觉    0 运动 68 运记   1 | 力[0.5 0.7 0.5]
