     20,000 |         0% |         0% |     0.056 |     0.263 |      716 |      0.5 分 | 
     40,000 |         0% |         0% |     0.137 |     0.269 |      716 |      0.9 分 | 
     60,000 |       100% |         0% |     0.312 |     0.280 |      717 |      1.4 分 | ★ 论文门槛达标
     80,000 |         0% |         0% |     0.517 |     0.316 |      729 |      1.8 分 | 
    100,000 |         0% |         0% |     0.353 |     0.291 |      729 |      2.3 分 | 
    120,000 |         0% |         0% |     0.246 |     0.257 |      729 |      2.7 分 | 
    140,000 |         0% |         0% |     0.241 |     0.259 |      728 |      3.2 分 | 
    160,000 |         0% |         0% |     0.527 |     0.325 |      734 |      3.6 分 | 
    180,000 |       100% |         0% |     0.336 |     0.254 |      731 |      4.1 分 | 
