     20,000 |         0% |         0% |     0.090 |     0.249 |      713 |      0.5 分 | 
     40,000 |         0% |         0% |     0.175 |     0.246 |      710 |      0.9 分 | 
     60,000 |         0% |         0% |     0.175 |     0.236 |      709 |      1.4 分 | 
     80,000 |         0% |         0% |     0.298 |     0.295 |      711 |      1.9 分 | 
    100,000 |         0% |         0% |     0.186 |     0.237 |      710 |      2.3 分 | 
    120,000 |         0% |         0% |     0.437 |     0.340 |      721 |      2.8 分 | 
    140,000 |         0% |         0% |     0.293 |     0.242 |      720 |      3.2 分 | 
    160,000 |       100% |         0% |     0.305 |     0.248 |      720 |      3.7 分 | ★ 论文门槛达标
    180,000 |       100% |         0% |     0.347 |     0.244 |      720 |      4.2 分 | 
