     20,000 |         0% |         0% |     0.055 |     0.246 |      716 |      0.5 分 | 
     40,000 |         0% |         0% |     0.108 |     0.258 |      717 |      0.9 分 | 
     60,000 |         0% |         0% |     0.148 |     0.252 |      718 |      1.4 分 | 
     80,000 |         0% |         0% |     0.493 |     0.300 |      732 |      1.8 分 | 
    100,000 |         0% |         0% |     0.277 |     0.248 |      730 |      2.3 分 | 
    120,000 |       100% |         0% |     0.407 |     0.242 |      730 |      2.7 分 | ★ 论文门槛达标
    140,000 |       100% |         0% |     0.397 |     0.245 |      729 |      3.2 分 | 
    160,000 |       100% |         0% |     0.397 |     0.246 |      728 |      3.7 分 | 
    180,000 |       100% |         0% |     0.477 |     0.252 |      728 |      4.1 分 | 
